UserDefined,Category,Count,Average Similarity
No,Conversion,43,0.6297571171050165
No,Dynamic Linker,146,0.7448123556084703
No,IO,174,0.7648383095674893
No,Libc,32,0.6413754442256355
No,Memory,56,0.6982396985737424
No,Networking,7,0.6229166666666667
No,Other,357,0.6384164831712693
No,System Call,4,0.46990740740740744
No,Threading,27,0.577704862900019
No,Utility,6,0.5446763722674588
Yes,Attack,20,0.5776878609621712
Yes,Memory,3,0.734903381642512
Yes,Networking,2,0.925
Yes,Other,27,0.7821004997774651
Yes,Utility,15,0.8106793536259026
