,PowerPC_Benign_Mean,Other_Benign_Mean,Difference,Difference_Ratio
Total_FLOATING_POINT_COMPARE,1.7732394366197184,0.5911805236564079,1.1820589129633103,1.9994889304748458
Avg_FLOATING_POINT_COMPARE,0.0023180716532142814,0.0012746069276985187,0.0010434647255157627,0.8186560914115574
Total_FUNCTION_OUT_DEGREE,922.0647887323944,2056.4464859898944,-1134.3816972575,-0.5516222790069114
Total_FUNCTION_IN_DEGREE,923.1633802816901,2057.369315571888,-1134.2059352901979,-0.5512894193111469
Total_BOOLEAN,24.816901408450704,53.935691318327976,-29.118789909877272,-0.539879793845942
Total_FLOATING_POINT_CONVERSION,4.354929577464789,2.852090032154341,1.5028395453104482,0.5269257030344412
Avg_FLOATING_POINT,0.004184897632436045,0.008504789666385761,-0.004319892033949716,-0.507936375078576
Avg_FLOATING_POINT_CONVERSION,0.003483742159485951,0.006310498878327041,-0.0028267567188410897,-0.44794504734790214
Total_functions,388.26197183098594,694.6077170418007,-306.34574521081475,-0.44103418043709874
Avg_LOGICAL,2.2107797164763308,1.5358633889631688,0.674916327513162,0.43943773408700415
Total_EXTENSION,8046.891549295775,13790.964170877354,-5744.072621581579,-0.41650986474980833
Total_INTEGER_COMPARISON,1429.5760563380281,2399.3968764354618,-969.8208200974336,-0.4041935828216119
Total_CFG_NODES,5226.976056338028,8547.794671566377,-3320.818615228349,-0.38850004507885677
Avg_CFG_EDGE_TO_NODE_RATIO,1.1013102577199823,0.7977423346167504,0.3035679231032319,0.3805338013671687
Total_BRANCHING,5559.391549295775,8898.983463481856,-3339.5919141860813,-0.3752779098748227
Avg_BOOLEAN,0.06949305302287376,0.10948690073802406,-0.0399938477151503,-0.36528431662200395
Total_CFG_EDGES,8022.46338028169,12637.338539274231,-4614.875158992541,-0.36517777415319413
Total_TOTAL_OPS,44658.578873239436,70276.85438677079,-25618.275513531356,-0.3645336112020667
Total_DATA_MOVING,23436.115492957746,36204.101975195226,-12767.98648223748,-0.35266684672872983
Total_ARITHMETIC,5252.232394366197,7851.557188791916,-2599.324794425719,-0.33105850622042854
Avg_DATA_MOVING,60.79809886864495,47.035338127585526,13.762760741059424,0.29260469444755133
Avg_FUNCTION_OUT_DEGREE,1.4807310078826266,2.028338176413332,-0.5476071685307056,-0.269978238786112
Avg_FUNCTION_IN_DEGREE,1.4889590127590755,2.031301760754699,-0.5423427479956233,-0.26699270313935247
Total_CFG_EDGE_TO_NODE_RATIO,478.3711101014891,640.0372639746633,-161.66615387317427,-0.2525886584621954
Avg_TOTAL_OPS,110.37314409064973,93.1644062172688,17.208737873380926,0.1847136537665298
Total_LOGICAL,900.1676056338029,1071.455672944419,-171.28806731061604,-0.159864819082909
Avg_ARITHMETIC,11.377773293825054,10.318337192891898,1.0594361009331568,0.10267508040568608
Total_FLOATING_POINT,3.259154929577465,3.0160771704180065,0.2430777591594584,0.08059401183218716
Avg_INTEGER_COMPARISON,3.1717887616530316,2.9865744064277,0.18521435522533158,0.06201565071565389
Avg_EXTENSION,19.99165354281288,18.943658263574495,1.0479952792383855,0.05532169471476933
Avg_BRANCHING,12.74357014276945,12.219058041615572,0.5245121011538778,0.04292573939558177
Avg_CFG_EDGES,17.632465683152866,17.533352208826603,0.09911347432626272,0.005652853666874223
Avg_CFG_NODES,11.558762638231478,11.495132785142268,0.06362985308921054,0.005535373473149753
