Feature,Benign Mean,Malware Mean,Absolute Difference,Percent Difference,Effect Size
Avg_INTEGER_COMPARISON,3.670362004303141,6.837416791802585,3.1670547874994446,46.31946367956453,0.9650815524829172
Avg_FLOATING_POINT_COMPARE,0.0016041356807306871,0.015447396272728347,0.01384326059199766,89.61549472539451,0.6741213546559605
Avg_LOGICAL,1.7846227907045962,4.336108383669312,2.5514855929647156,58.8427540827656,0.6220254989939941
Avg_DATA_MOVING,62.24885321319657,163.83615626075917,101.5873030475626,62.005423812481155,0.6057241698057104
Total_FLOATING_POINT_COMPARE,0.7485119047619048,3.5324324324324325,2.783920527670528,78.81029802892849,0.5269511165087076
Total_CFG_EDGES,13632.974702380952,3548.087837837838,10084.886864543114,284.2344193679467,0.5123538278268636
Avg_TOTAL_OPS,132.35238105575291,243.6882890980938,111.33590804234089,45.687836889660275,0.5093002793139607
Total_BRANCHING,8686.392857142857,2581.310810810811,6105.082046332046,236.5109238594321,0.5060495305751754
Total_CFG_NODES,8153.659226190476,2439.604054054054,5714.055172136423,234.22059668416247,0.49954452006417005
Total_ARITHMETIC,7575.520833333333,2213.693243243243,5361.82759009009,242.2118604940299,0.4895969936585317
Total_CFG_EDGE_TO_NODE_RATIO,444.3982866914805,190.550132688235,253.8481540032455,133.21856585561886,0.42010086660790524
Total_BOOLEAN,14.229166666666666,3.687837837837838,10.541328828828828,285.8403566630023,0.393391568702967
Total_functions,384.8809523809524,171.1418918918919,213.7390604890605,124.88997178088735,0.3888644329336431
Total_EXTENSION,11938.122023809523,5314.65,6623.472023809523,124.62668329635109,0.3823235744646837
Avg_CFG_EDGES,31.827401475039228,22.873882913277576,8.953518561761651,39.14297627432731,0.37861616870242004
Total_FUNCTION_OUT_DEGREE,1095.0982142857142,384.12567567567567,710.9725386100386,185.08852274960284,0.3748730192909808
Total_FUNCTION_IN_DEGREE,1096.625,385.5918918918919,711.0331081081081,184.40043036679305,0.3747954811758887
Avg_FUNCTION_OUT_DEGREE,1.8502700523777527,2.1349956639346965,0.28472561155694387,13.336121303038526,0.3308975182256285
Avg_FUNCTION_IN_DEGREE,1.856795600241494,2.140771462208685,0.28397586196719105,13.265118065157985,0.32889701379505515
Avg_BRANCHING,20.057758214659486,16.14860189765774,3.909156317001745,24.207397902159848,0.3053938701738255
Total_TOTAL_OPS,57207.979166666664,34454.28378378379,22753.695382882877,66.04025068601804,0.272718377116481
Total_INTEGER_COMPARISON,1955.1607142857142,1072.8243243243244,882.3363899613898,82.24425658106645,0.26140979569666967
Avg_CFG_NODES,18.701731123059165,15.55543311245503,3.146298010604136,20.226360705346977,0.25460373422455684
Avg_BOOLEAN,0.03521095694641821,0.016607201270508482,0.018603755675909727,112.022220799761,0.23485283389192513
Avg_EXTENSION,28.336775202306107,36.769327828232534,8.432552625926427,22.933659993239456,0.19798249824654615
Total_LOGICAL,1033.9166666666667,556.8364864864865,477.08018018018026,85.67688931277642,0.19651641885503626
Avg_FLOATING_POINT_CONVERSION,0.0077622752602283475,0.012371880565019729,0.0046096053047913815,37.25872781074678,0.09136263238793473
Total_DATA_MOVING,25996.428571428572,22700.721621621622,3295.7069498069504,14.518071296323495,0.0776039320390948
Avg_CFG_EDGE_TO_NODE_RATIO,1.1539466782672934,1.1336566899061622,0.02028998836113116,1.7897824395858903,0.06307185704052556
Avg_ARITHMETIC,16.193578527887766,15.69851480537847,0.4950637225092951,3.153570440559646,0.034776597821551875
Total_FLOATING_POINT_CONVERSION,2.6458333333333335,2.901351351351351,0.25551801801801766,8.806862288464512,0.019234798895385704
Total_FLOATING_POINT,4.813988095238095,4.125675675675676,0.6883124195624193,16.683628905214224,0.01618883895684382
Avg_FLOATING_POINT,0.015853734807853154,0.01773665248571708,0.001882917677863926,10.615969836361154,0.011476040028277902
